Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method
West Gear,1185732.00,44208.00,Southeast,Florida,Orlando,Men's Athletic Footwear,44.00,189.00,832.00,391.00,Online
Foot Locker,1128299.00,44432.00,Southeast,Virginia,Richmond,Women's Street Footwear,69.00,189.00,1304.00,626.00,Online
Sports Direct,1185732.00,44392.00,Midwest,Michigan,Detroit,Men's Athletic Footwear,53.00,189.00,1002.00,511.00,Online
West Gear,1128299.00,44371.00,West,Oregon,Portland,Women's Street Footwear,78.00,189.00,1474.00,678.00,Online
West Gear,1128299.00,44371.00,West,Oregon,Portland,Women's Apparel,95.00,189.00,1796.00,808.00,Online
West Gear,1128299.00,44393.00,South,Louisiana,New Orleans,Men's Apparel,86.00,189.00,1625.00,943.00,Online
West Gear,1128299.00,44425.00,South,Louisiana,New Orleans,Women's Street Footwear,70.00,189.00,1323.00,728.00,Online
Sports Direct,1197831.00,44505.00,West,Idaho,Boise,Men's Athletic Footwear,32.00,189.00,605.00,314.00,Online
Sports Direct,1128299.00,44542.00,Southeast,Georgia,Atlanta,Men's Athletic Footwear,58.00,189.00,1096.00,581.00,Online
Foot Locker,1185732.00,44205.00,Southeast,Georgia,Atlanta,Men's Apparel,47.00,189.00,888.00,418.00,Online
Foot Locker,1185732.00,44234.00,Southeast,South Carolina,Charleston,Men's Apparel,49.00,189.00,926.00,435.00,Online
Foot Locker,1185732.00,44260.00,Southeast,South Carolina,Charleston,Women's Apparel,32.00,189.00,605.00,381.00,Online
Foot Locker,1185732.00,44476.00,Southeast,South Carolina,Charleston,Men's Apparel,52.00,189.00,983.00,472.00,Online
Sports Direct,1185732.00,44202.00,Southeast,South Carolina,Charleston,Women's Street Footwear,24.00,189.00,454.00,245.00,Online
Sports Direct,1185732.00,44289.00,Southeast,North Carolina,Charlotte,Women's Apparel,32.00,189.00,605.00,369.00,Online
Foot Locker,1185732.00,44216.00,Southeast,Kentucky,Louisville,Men's Street Footwear,29.00,189.00,548.00,296.00,Online
Sports Direct,1197831.00,44248.00,South,Mississippi,Jackson,Men's Street Footwear,24.00,189.00,454.00,231.00,Online
West Gear,1197831.00,44428.00,South,Oklahoma,Oklahoma City,Men's Street Footwear,56.00,189.00,1058.00,540.00,Online
Kohl's,1197831.00,44421.00,Midwest,Kansas,Wichita,Men's Street Footwear,56.00,189.00,1058.00,529.00,Online
Foot Locker,1185732.00,44362.00,Northeast,Delaware,Wilmington,Men's Street Footwear,51.00,189.00,964.00,443.00,Online
Sports Direct,1185732.00,44380.00,Northeast,Connecticut,Hartford,Men's Street Footwear,54.00,189.00,1021.00,551.00,Online
Walmart,1197831.00,44087.00,South,Texas,Houston,Women's Street Footwear,48.00,188.00,902.00,424.00,Online
West Gear,1128299.00,44193.00,West,California,San Francisco,Women's Athletic Footwear,54.00,188.00,1015.00,416.00,Online
West Gear,1128299.00,44217.00,West,California,San Francisco,Women's Athletic Footwear,59.00,188.00,1109.00,455.00,Online
West Gear,1128299.00,44218.00,West,California,San Francisco,Men's Apparel,69.00,188.00,1297.00,791.00,Online
Kohl's,1189833.00,44292.00,West,California,Los Angeles,Women's Apparel,41.00,188.00,771.00,270.00,Online
West Gear,1128299.00,43942.00,West,Colorado,Denver,Men's Athletic Footwear,67.00,188.00,1260.00,504.00,Online
West Gear,1128299.00,44008.00,West,Washington,Seattle,Men's Athletic Footwear,74.00,188.00,1391.00,515.00,Online
West Gear,1128299.00,44038.00,West,Washington,Seattle,Men's Athletic Footwear,60.00,188.00,1128.00,417.00,Online
West Gear,1128299.00,44043.00,West,Washington,Seattle,Men's Street Footwear,78.00,188.00,1466.00,587.00,Online
West Gear,1185732.00,43945.00,Southeast,Florida,Miami,Women's Street Footwear,47.00,188.00,884.00,327.00,Online
Kohl's,1189833.00,44236.00,Midwest,Montana,Billings,Men's Athletic Footwear,54.00,188.00,1015.00,437.00,Online
Sports Direct,1197831.00,44422.00,South,Alabama,Birmingham,Men's Athletic Footwear,36.00,188.00,677.00,372.00,Online
Sports Direct,1197831.00,44459.00,South,Alabama,Birmingham,Women's Street Footwear,59.00,188.00,1109.00,699.00,Online
Sports Direct,1197831.00,44474.00,South,Alabama,Birmingham,Women's Apparel,56.00,188.00,1053.00,832.00,Online
West Gear,1185732.00,44417.00,Northeast,New York,Albany,Women's Street Footwear,51.00,188.00,959.00,345.00,Online
West Gear,1128299.00,44553.00,West,Oregon,Portland,Men's Street Footwear,61.00,188.00,1147.00,550.00,Online
West Gear,1128299.00,44517.00,South,Louisiana,New Orleans,Men's Street Footwear,39.00,188.00,733.00,367.00,Online
West Gear,1197831.00,44351.00,West,Idaho,Boise,Men's Athletic Footwear,46.00,188.00,865.00,415.00,Online
Sports Direct,1197831.00,44444.00,West,Idaho,Boise,Men's Athletic Footwear,50.00,188.00,940.00,489.00,Online
Foot Locker,1185732.00,44292.00,Southeast,South Carolina,Charleston,Men's Apparel,47.00,188.00,884.00,442.00,Online
Foot Locker,1185732.00,44321.00,Southeast,South Carolina,Charleston,Men's Athletic Footwear,45.00,188.00,846.00,381.00,Online
Foot Locker,1185732.00,44506.00,Southeast,South Carolina,Charleston,Men's Athletic Footwear,44.00,188.00,827.00,372.00,Online
Sports Direct,1185732.00,44231.00,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34.00,188.00,639.00,307.00,Online
Foot Locker,1185732.00,44365.00,South,Mississippi,Jackson,Women's Apparel,60.00,188.00,1128.00,711.00,Online
Kohl's,1185732.00,44383.00,Northeast,New Jersey,Newark,Men's Street Footwear,47.00,188.00,884.00,415.00,Online
West Gear,1128299.00,44193.00,West,California,San Francisco,Women's Athletic Footwear,48.00,188.00,902.00,307.00,Outlet
Sports Direct,1197831.00,44469.00,South,Alabama,Birmingham,Men's Street Footwear,14.00,188.00,263.00,150.00,Outlet
Sports Direct,1197831.00,44474.00,South,Alabama,Birmingham,Women's Apparel,45.00,188.00,846.00,584.00,Outlet
Walmart,1128299.00,44517.00,Southeast,Florida,Orlando,Men's Street Footwear,41.00,188.00,771.00,262.00,Outlet
Foot Locker,1197831.00,44261.00,West,Idaho,Boise,Men's Athletic Footwear,27.00,188.00,508.00,198.00,Outlet
Kohl's,1128299.00,44466.00,West,New Mexico,Albuquerque,Men's Athletic Footwear,39.00,188.00,733.00,337.00,Outlet
Amazon,1185732.00,44272.00,Northeast,New Hampshire,Manchester,Men's Street Footwear,39.00,188.00,733.00,337.00,Outlet
Foot Locker,1185732.00,44271.00,South,Mississippi,Jackson,Men's Street Footwear,23.00,187.00,430.00,237.00,Online
Foot Locker,1128299.00,44400.00,Southeast,Virginia,Richmond,Women's Athletic Footwear,65.00,187.00,1216.00,511.00,Outlet
Sports Direct,1185732.00,44215.00,Southeast,Virginia,Richmond,Men's Athletic Footwear,28.00,187.00,524.00,246.00,Outlet
West Gear,1197831.00,44351.00,West,Idaho,Boise,Women's Athletic Footwear,33.00,187.00,617.00,302.00,Outlet
Kohl's,1128299.00,44280.00,West,New Mexico,Albuquerque,Men's Street Footwear,30.00,187.00,561.00,230.00,Outlet
Kohl's,1128299.00,44373.00,West,New Mexico,Albuquerque,Men's Athletic Footwear,47.00,187.00,879.00,378.00,Outlet
Sports Direct,1128299.00,44330.00,Southeast,Georgia,Atlanta,Men's Street Footwear,37.00,187.00,692.00,318.00,Outlet
Amazon,1185732.00,44304.00,Northeast,New Hampshire,Manchester,Men's Street Footwear,33.00,187.00,617.00,259.00,Outlet
Foot Locker,1185732.00,44272.00,Midwest,Missouri,St. Louis,Men's Street Footwear,34.00,186.00,632.00,323.00,Online
West Gear,1128299.00,43880.00,West,Nevada,Las Vegas,Men's Street Footwear,41.00,186.00,763.00,290.00,Outlet
Walmart,1128299.00,44393.00,Southeast,Florida,Orlando,Women's Athletic Footwear,59.00,186.00,1097.00,362.00,Outlet
Foot Locker,1128299.00,44400.00,Southeast,Virginia,Richmond,Women's Apparel,82.00,186.00,1525.00,503.00,Outlet
West Gear,1197831.00,44351.00,West,Idaho,Boise,Women's Street Footwear,34.00,186.00,632.00,259.00,Outlet
Amazon,1185732.00,44540.00,Northeast,Vermont,Burlington,Men's Street Footwear,48.00,186.00,893.00,429.00,Outlet
Amazon,1185732.00,44246.00,Northeast,Vermont,Burlington,Men's Street Footwear,34.00,186.00,632.00,278.00,Outlet
Amazon,1185732.00,44265.00,Northeast,Vermont,Burlington,Men's Street Footwear,35.00,185.00,648.00,317.00,Outlet
Walmart,1197831.00,44089.00,South,Texas,Houston,Men's Apparel,35.00,184.00,644.00,238.00,Outlet
Sports Direct,1197831.00,44459.00,South,Texas,Dallas,Men's Apparel,39.00,184.00,718.00,273.00,Outlet
Sports Direct,1197831.00,44463.00,South,Alabama,Birmingham,Men's Street Footwear,20.00,184.00,368.00,191.00,Outlet
Foot Locker,1128299.00,44371.00,Southeast,Virginia,Richmond,Women's Athletic Footwear,61.00,184.00,1122.00,460.00,Outlet
West Gear,1185732.00,44419.00,West,Utah,Salt Lake City,Women's Apparel,27.00,184.00,497.00,283.00,Outlet
West Gear,1128299.00,44364.00,South,Louisiana,New Orleans,Women's Athletic Footwear,59.00,184.00,1086.00,510.00,Outlet
West Gear,1128299.00,44486.00,South,Louisiana,New Orleans,Men's Athletic Footwear,34.00,184.00,626.00,282.00,Outlet
West Gear,1197831.00,44321.00,West,Idaho,Boise,Women's Street Footwear,18.00,184.00,331.00,129.00,Outlet
Foot Locker,1197831.00,44534.00,West,Idaho,Boise,Women's Athletic Footwear,44.00,184.00,810.00,421.00,Outlet
Foot Locker,1128299.00,44340.00,West,Arizona,Phoenix,Men's Street Footwear,38.00,184.00,699.00,266.00,Outlet
Foot Locker,1128299.00,44463.00,West,Arizona,Phoenix,Men's Street Footwear,35.00,184.00,644.00,270.00,Outlet
Kohl's,1128299.00,44343.00,West,New Mexico,Albuquerque,Men's Street Footwear,43.00,184.00,791.00,324.00,Outlet
Sports Direct,1128299.00,44389.00,Southeast,Georgia,Atlanta,Women's Street Footwear,41.00,184.00,754.00,309.00,Outlet
Sports Direct,1128299.00,44513.00,Southeast,Georgia,Atlanta,Men's Athletic Footwear,40.00,184.00,736.00,324.00,Outlet
West Gear,1197831.00,44306.00,South,Oklahoma,Oklahoma City,Men's Street Footwear,20.00,184.00,368.00,169.00,Outlet
Amazon,1185732.00,44239.00,Northeast,Massachusetts,Boston,Men's Street Footwear,33.00,184.00,607.00,285.00,Outlet
Foot Locker,1185732.00,44249.00,Northeast,New Hampshire,Manchester,Men's Street Footwear,41.00,184.00,754.00,279.00,Outlet
Sports Direct,1197831.00,44045.00,South,Texas,Houston,Women's Street Footwear,32.00,182.00,582.00,285.00,Online
Walmart,1197831.00,44133.00,South,Texas,Houston,Women's Athletic Footwear,47.00,182.00,855.00,496.00,Online
West Gear,1128299.00,44147.00,West,California,San Francisco,Women's Apparel,46.00,182.00,837.00,234.00,Online
West Gear,1128299.00,44199.00,West,California,San Francisco,Women's Athletic Footwear,56.00,182.00,1019.00,459.00,Online
West Gear,1128299.00,44228.00,West,California,San Francisco,Women's Street Footwear,50.00,182.00,910.00,382.00,Online
West Gear,1128299.00,44230.00,West,California,San Francisco,Men's Apparel,59.00,182.00,1074.00,623.00,Online
Kohl's,1189833.00,44267.00,West,California,Los Angeles,Women's Apparel,41.00,182.00,746.00,231.00,Online
Kohl's,1189833.00,44321.00,West,California,Los Angeles,Men's Apparel,58.00,182.00,1056.00,707.00,Online
Kohl's,1189833.00,44343.00,West,California,Los Angeles,Women's Street Footwear,46.00,182.00,837.00,452.00,Online
Sports Direct,1197831.00,44431.00,South,Texas,Dallas,Men's Street Footwear,29.00,182.00,528.00,264.00,Online
Sports Direct,1197831.00,44437.00,South,Texas,Dallas,Men's Street Footwear,18.00,182.00,328.00,147.00,Online
West Gear,1128299.00,43875.00,West,Nevada,Las Vegas,Men's Athletic Footwear,64.00,182.00,1165.00,454.00,Online
West Gear,1128299.00,43972.00,West,Colorado,Denver,Men's Athletic Footwear,64.00,182.00,1165.00,443.00,Online
West Gear,1128299.00,44012.00,West,Washington,Seattle,Women's Apparel,98.00,182.00,1784.00,606.00,Online
West Gear,1128299.00,44014.00,West,Washington,Seattle,Men's Athletic Footwear,82.00,182.00,1492.00,537.00,Online
Foot Locker,1185732.00,44065.00,Southeast,Florida,Miami,Men's Apparel,53.00,182.00,965.00,444.00,Online
Sports Direct,1185732.00,44106.00,Southeast,Florida,Miami,Women's Athletic Footwear,45.00,182.00,819.00,360.00,Online
Kohl's,1189833.00,44260.00,Midwest,Montana,Billings,Men's Athletic Footwear,45.00,182.00,819.00,352.00,Online
Sports Direct,1197831.00,44266.00,Midwest,Montana,Billings,Men's Athletic Footwear,29.00,182.00,528.00,243.00,Online
Sports Direct,1197831.00,44313.00,South,Tennessee,Knoxville,Men's Street Footwear,49.00,182.00,892.00,535.00,Online
Sports Direct,1197831.00,44315.00,South,Tennessee,Knoxville,Women's Street Footwear,54.00,182.00,983.00,580.00,Online
Sports Direct,1197831.00,44456.00,South,Alabama,Birmingham,Women's Apparel,59.00,182.00,1074.00,827.00,Online
Amazon,1185732.00,44397.00,West,Alaska,Anchorage,Men's Street Footwear,63.00,182.00,1147.00,527.00,Online
Foot Locker,1128299.00,44386.00,West,Hawaii,Honolulu,Men's Athletic Footwear,81.00,182.00,1474.00,501.00,Online
Walmart,1128299.00,44539.00,West,Hawaii,Honolulu,Men's Athletic Footwear,77.00,182.00,1401.00,420.00,Online
West Gear,1185732.00,44237.00,Northeast,New York,Albany,Women's Apparel,42.00,182.00,764.00,489.00,Online
Kohl's,1185732.00,44538.00,Northeast,New York,Albany,Women's Apparel,69.00,182.00,1256.00,804.00,Online
Foot Locker,1128299.00,44371.00,Southeast,Virginia,Richmond,Women's Apparel,96.00,182.00,1747.00,699.00,Online
Foot Locker,1128299.00,44400.00,Southeast,Virginia,Richmond,Women's Street Footwear,86.00,182.00,1565.00,704.00,Online
Foot Locker,1185732.00,44245.00,Midwest,Michigan,Detroit,Men's Street Footwear,29.00,182.00,528.00,280.00,Online
West Gear,1185732.00,44358.00,West,Utah,Salt Lake City,Men's Street Footwear,28.00,182.00,510.00,260.00,Online
Foot Locker,1197831.00,44201.00,South,Louisiana,New Orleans,Men's Street Footwear,19.00,182.00,346.00,149.00,Online
Sports Direct,1197831.00,44444.00,West,Idaho,Boise,Women's Street Footwear,56.00,182.00,1019.00,530.00,Online
Sports Direct,1197831.00,44505.00,West,Idaho,Boise,Men's Street Footwear,33.00,182.00,601.00,330.00,Online
Kohl's,1128299.00,44555.00,West,New Mexico,Albuquerque,Men's Athletic Footwear,61.00,182.00,1110.00,555.00,Online
Sports Direct,1128299.00,44421.00,Southeast,Georgia,Atlanta,Men's Street Footwear,53.00,182.00,965.00,492.00,Online
Foot Locker,1185732.00,44292.00,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34.00,182.00,619.00,285.00,Online
Foot Locker,1185732.00,44292.00,Southeast,South Carolina,Charleston,Women's Street Footwear,24.00,182.00,437.00,166.00,Online
Foot Locker,1185732.00,44321.00,Southeast,South Carolina,Charleston,Women's Athletic Footwear,43.00,182.00,783.00,329.00,Online
Sports Direct,1185732.00,44318.00,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,42.00,182.00,764.00,352.00,Online
Sports Direct,1185732.00,44351.00,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,42.00,182.00,764.00,359.00,Online
Sports Direct,1185732.00,44379.00,Southeast,North Carolina,Charlotte,Men's Apparel,59.00,182.00,1074.00,526.00,Online
Sports Direct,1185732.00,44411.00,Southeast,North Carolina,Charlotte,Women's Athletic Footwear,44.00,182.00,801.00,424.00,Online
Walmart,1197831.00,44458.00,South,Arkansas,Little Rock,Men's Street Footwear,48.00,182.00,874.00,454.00,Online
West Gear,1197831.00,44396.00,South,Oklahoma,Oklahoma City,Men's Street Footwear,50.00,182.00,910.00,473.00,Online
Kohl's,1197831.00,44389.00,Midwest,Kansas,Wichita,Men's Street Footwear,51.00,182.00,928.00,464.00,Online
West Gear,1185732.00,44393.00,Northeast,West Virginia,Charleston,Men's Street Footwear,55.00,182.00,1001.00,521.00,Online
Foot Locker,1185732.00,44390.00,Northeast,Delaware,Wilmington,Men's Street Footwear,53.00,182.00,965.00,482.00,Online
Amazon,1185732.00,44387.00,Northeast,Vermont,Burlington,Men's Street Footwear,54.00,182.00,983.00,560.00,Online
West Gear,1128299.00,44200.00,West,California,San Francisco,Men's Apparel,49.00,182.00,892.00,508.00,Outlet
Kohl's,1189833.00,44265.00,West,California,San Francisco,Women's Athletic Footwear,33.00,182.00,601.00,228.00,Outlet
Sports Direct,1197831.00,44446.00,South,Texas,Dallas,Women's Athletic Footwear,27.00,182.00,491.00,241.00,Outlet
West Gear,1128299.00,43844.00,West,Nevada,Las Vegas,Men's Street Footwear,31.00,182.00,564.00,254.00,Outlet
West Gear,1128299.00,43863.00,West,Nevada,Las Vegas,Men's Athletic Footwear,51.00,182.00,928.00,334.00,Outlet
Sports Direct,1197831.00,44305.00,South,Tennessee,Knoxville,Men's Apparel,33.00,182.00,601.00,270.00,Outlet
West Gear,1185732.00,44387.00,West,Utah,Salt Lake City,Men's Athletic Footwear,20.00,182.00,364.00,142.00,Outlet
Kohl's,1128299.00,44495.00,West,New Mexico,Albuquerque,Men's Athletic Footwear,38.00,182.00,692.00,297.00,Outlet
West Gear,1197831.00,44274.00,South,Oklahoma,Oklahoma City,Men's Street Footwear,14.00,182.00,255.00,117.00,Outlet
Sports Direct,1185732.00,44258.00,Northeast,Connecticut,Hartford,Men's Street Footwear,26.00,182.00,473.00,203.00,Outlet
Foot Locker,1185732.00,44415.00,Northeast,Rhode Island,Providence,Men's Street Footwear,38.00,182.00,692.00,284.00,Outlet
Walmart,1197831.00,44082.00,South,Texas,Houston,Women's Athletic Footwear,47.00,181.00,851.00,468.00,Online
West Gear,1128299.00,44219.00,West,California,San Francisco,Women's Apparel,76.00,181.00,1376.00,344.00,Online
Kohl's,1189833.00,44304.00,West,California,Los Angeles,Women's Apparel,64.00,181.00,1158.00,359.00,Online
Sports Direct,1197831.00,44467.00,South,Texas,Dallas,Men's Street Footwear,53.00,181.00,959.00,528.00,Online
Sports Direct,1197831.00,44479.00,South,Texas,Dallas,Men's Street Footwear,38.00,181.00,688.00,378.00,Online
West Gear,1128299.00,43940.00,West,Colorado,Denver,Women's Apparel,83.00,181.00,1502.00,646.00,Online
Sports Direct,1197831.00,44272.00,South,Tennessee,Knoxville,Men's Athletic Footwear,33.00,181.00,597.00,287.00,Online
Sports Direct,1197831.00,44312.00,South,Tennessee,Knoxville,Women's Apparel,53.00,181.00,959.00,681.00,Online
West Gear,1185732.00,44357.00,Northeast,New York,Albany,Women's Apparel,69.00,181.00,1249.00,774.00,Online
Sports Direct,1185732.00,44302.00,Midwest,Michigan,Detroit,Men's Street Footwear,32.00,181.00,579.00,348.00,Online
West Gear,1185732.00,44297.00,West,Utah,Salt Lake City,Men's Street Footwear,27.00,181.00,489.00,244.00,Online
Sports Direct,1197831.00,44444.00,West,Idaho,Boise,Women's Apparel,49.00,181.00,887.00,594.00,Online
Foot Locker,1128299.00,44552.00,West,Arizona,Phoenix,Men's Street Footwear,44.00,181.00,796.00,366.00,Online
Foot Locker,1185732.00,44260.00,Southeast,South Carolina,Charleston,Women's Street Footwear,24.00,181.00,434.00,165.00,Online
Foot Locker,1185732.00,44260.00,Southeast,South Carolina,Charleston,Men's Apparel,41.00,181.00,742.00,356.00,Online
Sports Direct,1185732.00,44202.00,Southeast,South Carolina,Charleston,Men's Athletic Footwear,34.00,181.00,615.00,308.00,Online
Sports Direct,1185732.00,44257.00,Southeast,North Carolina,Charlotte,Women's Street Footwear,19.00,181.00,344.00,179.00,Online
Sports Direct,1185732.00,44441.00,Southeast,North Carolina,Charlotte,Men's Athletic Footwear,49.00,181.00,887.00,443.00,Online
Amazon,1185732.00,44386.00,Midwest,Ohio,Columbus,Women's Apparel,69.00,181.00,1249.00,787.00,Online
Amazon,1185732.00,44539.00,Midwest,Ohio,Columbus,Men's Athletic Footwear,60.00,181.00,1086.00,510.00,Online
Walmart,1197831.00,44274.00,South,Arkansas,Little Rock,Men's Street Footwear,18.00,181.00,326.00,173.00,Online
Walmart,1197831.00,44335.00,South,Arkansas,Little Rock,Men's Street Footwear,39.00,181.00,706.00,381.00,Online
Kohl's,1189833.00,44241.00,Midwest,Montana,Billings,Men's Street Footwear,41.00,180.00,738.00,428.00,Online
Sports Direct,1197831.00,44291.00,South,Tennessee,Knoxville,Women's Street Footwear,19.00,180.00,342.00,185.00,Online
Sports Direct,1197831.00,44442.00,South,Alabama,Birmingham,Women's Athletic Footwear,41.00,180.00,738.00,509.00,Online
Foot Locker,1128299.00,44357.00,West,Hawaii,Honolulu,Women's Street Footwear,71.00,180.00,1278.00,460.00,Online
Walmart,1128299.00,44393.00,Southeast,Florida,Orlando,Women's Athletic Footwear,82.00,180.00,1476.00,635.00,Online
West Gear,1128299.00,44546.00,Southeast,Florida,Orlando,Women's Athletic Footwear,78.00,180.00,1404.00,576.00,Online
Foot Locker,1128299.00,44400.00,Southeast,Virginia,Richmond,Women's Apparel,96.00,180.00,1728.00,691.00,Online
Foot Locker,1185732.00,44335.00,Midwest,Missouri,St. Louis,Men's Street Footwear,39.00,180.00,702.00,358.00,Online
Kohl's,1128299.00,44402.00,West,New Mexico,Albuquerque,Men's Athletic Footwear,56.00,180.00,1008.00,544.00,Online
Sports Direct,1128299.00,44453.00,Southeast,Georgia,Atlanta,Men's Street Footwear,43.00,180.00,774.00,418.00,Online
Foot Locker,1185732.00,44292.00,Southeast,South Carolina,Charleston,Women's Athletic Footwear,27.00,180.00,486.00,209.00,Online
Sports Direct,1185732.00,44231.00,Southeast,North Carolina,Charlotte,Men's Apparel,44.00,180.00,792.00,396.00,Online
Kohl's,1185732.00,44415.00,Northeast,New Jersey,Newark,Men's Street Footwear,47.00,180.00,846.00,406.00,Online
Amazon,1185732.00,44246.00,Northeast,Vermont,Burlington,Men's Street Footwear,49.00,180.00,882.00,467.00,Online
Walmart,1197831.00,44059.00,South,Texas,Houston,Men's Apparel,35.00,180.00,630.00,221.00,Outlet
West Gear,1128299.00,43881.00,West,Nevada,Las Vegas,Men's Athletic Footwear,51.00,180.00,918.00,248.00,Outlet
West Gear,1128299.00,44517.00,South,Louisiana,New Orleans,Women's Apparel,64.00,180.00,1152.00,472.00,Outlet
Foot Locker,1197831.00,44231.00,South,Louisiana,New Orleans,Men's Athletic Footwear,28.00,180.00,504.00,166.00,Outlet
Kohl's,1128299.00,44526.00,West,New Mexico,Albuquerque,Men's Athletic Footwear,44.00,180.00,792.00,341.00,Outlet
Walmart,1197831.00,44490.00,South,Arkansas,Little Rock,Men's Street Footwear,21.00,180.00,378.00,170.00,Outlet
Sports Direct,1185732.00,44390.00,Northeast,Massachusetts,Boston,Men's Street Footwear,37.00,180.00,666.00,220.00,Outlet
West Gear,1185732.00,44334.00,Northeast,West Virginia,Charleston,Men's Street Footwear,58.00,179.00,1038.00,540.00,Online
Walmart,1197831.00,44053.00,South,Texas,Houston,Men's Apparel,34.00,179.00,609.00,207.00,Outlet
Kohl's,1189833.00,44271.00,West,California,Los Angeles,Women's Athletic Footwear,34.00,179.00,609.00,250.00,Outlet
Sports Direct,1197831.00,44439.00,South,Texas,Dallas,Women's Street Footwear,20.00,179.00,358.00,140.00,Outlet
Foot Locker,1185732.00,44533.00,Northeast,Pennsylvania,Philadelphia,Men's Street Footwear,51.00,179.00,913.00,529.00,Outlet
West Gear,1128299.00,43876.00,West,Nevada,Las Vegas,Women's Street Footwear,44.00,179.00,788.00,331.00,Outlet
Sports Direct,1197831.00,44292.00,South,Tennessee,Knoxville,Women's Athletic Footwear,20.00,179.00,358.00,193.00,Outlet
Sports Direct,1197831.00,44324.00,South,Tennessee,Knoxville,Women's Apparel,29.00,179.00,519.00,348.00,Outlet
Sports Direct,1197831.00,44449.00,South,Alabama,Birmingham,Men's Apparel,35.00,179.00,627.00,326.00,Outlet
West Gear,1128299.00,44546.00,Southeast,Florida,Orlando,Men's Apparel,64.00,179.00,1146.00,298.00,Outlet
West Gear,1185732.00,44419.00,West,Utah,Salt Lake City,Men's Athletic Footwear,28.00,179.00,501.00,211.00,Outlet
West Gear,1128299.00,44371.00,West,Oregon,Portland,Women's Athletic Footwear,62.00,179.00,1110.00,455.00,Outlet
West Gear,1128299.00,44493.00,West,Oregon,Portland,Men's Athletic Footwear,37.00,179.00,662.00,252.00,Outlet
West Gear,1128299.00,44271.00,South,Louisiana,New Orleans,Men's Street Footwear,29.00,179.00,519.00,239.00,Outlet
Sports Direct,1197831.00,44473.00,West,Idaho,Boise,Women's Street Footwear,31.00,179.00,555.00,233.00,Outlet
Sports Direct,1197831.00,44473.00,West,Idaho,Boise,Women's Apparel,34.00,179.00,609.00,359.00,Outlet
Sports Direct,1128299.00,44299.00,Southeast,Georgia,Atlanta,Men's Street Footwear,37.00,179.00,662.00,285.00,Outlet
Walmart,1185732.00,44425.00,South,Mississippi,Jackson,Women's Street Footwear,37.00,179.00,662.00,291.00,Outlet
West Gear,1197831.00,44335.00,South,Oklahoma,Oklahoma City,Men's Street Footwear,28.00,179.00,501.00,216.00,Outlet
Amazon,1185732.00,44210.00,Northeast,Massachusetts,Boston,Men's Street Footwear,35.00,179.00,627.00,326.00,Outlet
Amazon,1185732.00,44449.00,Northeast,Vermont,Burlington,Men's Street Footwear,44.00,179.00,788.00,386.00,Outlet
Sports Direct,1197831.00,44320.00,South,Tennessee,Knoxville,Men's Athletic Footwear,25.00,178.00,445.00,214.00,Outlet
West Gear,1128299.00,44334.00,South,Louisiana,New Orleans,Women's Apparel,46.00,178.00,819.00,328.00,Outlet
Sports Direct,1185732.00,44546.00,South,Mississippi,Jackson,Women's Apparel,53.00,178.00,943.00,519.00,Outlet
West Gear,1197831.00,44219.00,South,Arkansas,Little Rock,Men's Street Footwear,17.00,178.00,303.00,142.00,Outlet
Amazon,1185732.00,44543.00,Northeast,Massachusetts,Boston,Men's Street Footwear,51.00,178.00,908.00,318.00,Outlet
Amazon,1185732.00,44326.00,Northeast,Vermont,Burlington,Men's Street Footwear,48.00,177.00,850.00,433.00,Outlet
Sports Direct,1197831.00,44039.00,South,Texas,Houston,Women's Street Footwear,32.00,176.00,563.00,253.00,Online
Kohl's,1189833.00,44273.00,West,California,Los Angeles,Women's Apparel,41.00,176.00,722.00,216.00,Online
Kohl's,1189833.00,44326.00,West,California,Los Angeles,Women's Athletic Footwear,46.00,176.00,810.00,405.00,Online
Kohl's,1189833.00,44331.00,West,California,Los Angeles,Women's Street Footwear,49.00,176.00,862.00,440.00,Online
Kohl's,1189833.00,44334.00,West,California,Los Angeles,Women's Apparel,62.00,176.00,1091.00,382.00,Online
Kohl's,1189833.00,44338.00,West,California,Los Angeles,Women's Athletic Footwear,47.00,176.00,827.00,372.00,Online
Sports Direct,1197831.00,44425.00,South,Texas,Dallas,Men's Street Footwear,23.00,176.00,405.00,174.00,Online
Sports Direct,1197831.00,44451.00,South,Texas,Dallas,Women's Street Footwear,44.00,176.00,774.00,364.00,Online
Sports Direct,1197831.00,44468.00,South,Texas,Dallas,Men's Athletic Footwear,54.00,176.00,950.00,485.00,Online
Sports Direct,1197831.00,44481.00,South,Texas,Dallas,Women's Street Footwear,63.00,176.00,1109.00,610.00,Online
Sports Direct,1197831.00,44484.00,South,Texas,Dallas,Women's Apparel,67.00,176.00,1179.00,766.00,Online
Sports Direct,1197831.00,44284.00,South,Tennessee,Knoxville,Men's Athletic Footwear,24.00,176.00,422.00,215.00,Online
West Gear,1185732.00,44208.00,Southeast,Florida,Orlando,Women's Apparel,44.00,176.00,774.00,503.00,Online
